type	latitude	longitude	name
W	-3.071703930	-59.924450350	PP01 [119:Point]
W	-3.071469880	-59.924577181	PP01 [120:Point]
W	-3.071244820	-59.924694990	PP01 [121:Point]
W	-3.071028940	-59.924857730	PP01 [122:Point]
W	-3.070831040	-59.925002420	PP01 [123:Point]
W	-3.070758260	-59.924840770	PP01 [124:Point]
W	-3.070685170	-59.924598160	PP01 [125:Point]
W	-3.070602920	-59.924319590	PP01 [126:Point]
W	-3.070529520	-59.923996010	PP01 [127:Point]
W	-3.070474360	-59.923726340	PP01 [128:Point]
W	-3.070410081	-59.923429711	PP01 [129:Point]
W	-3.070364090	-59.923195990	PP01 [130:Point]
W	-3.070317990	-59.922935280	PP01 [131:Point]
W	-3.070542808	-59.922754499	PP01 [132:Point]
W	-3.070740511	-59.922555839	PP01 [133:Point]
W	-3.070983338	-59.922366000	PP01 [134:Point]
W	-3.071181340	-59.922248301	PP01 [135:Point]
W	-3.071415222	-59.922076480	PP01 [136:Point]
W	-3.070961499	-59.923733481	PP01 [137:Point]
W	-3.071141220	-59.923552880	PP01 [138:Point]
W	-3.071329970	-59.923372240	PP01 [139:Point]
W	-3.071482830	-59.923245720	PP01 [140:Point]
W	-3.071409459	-59.922931130	PP01 [141:Point]
W	-3.071363369	-59.922670420	PP01 [142:Point]
W	-3.071219489	-59.922787920	PP01 [143:Point]
W	-3.071030671	-59.922950559	PP01 [144:Point]
W	-3.070841900	-59.923122211	PP01 [145:Point]
W	-3.070653051	-59.923275850	PP01 [146:Point]
W	-3.071676121	-59.921895569	PP01 [147:Point]
W	-3.071919060	-59.921732720	PP01 [148:Point]
W	-3.072134860	-59.921551980	PP01 [149:Point]
W	-3.072377690	-59.921362130	PP01 [150:Point]
W	-3.072575520	-59.921199450	PP01 [151:Point]
W	-3.072809290	-59.921000650	PP01 [152:Point]
W	-3.073016040	-59.920810950	PP01 [153:Point]
W	-3.066804170	-59.924037130	PP01 [154:Point]
W	-3.066578110	-59.923894050	PP01 [155:Point]
W	-3.066262420	-59.923904250	PP01 [156:Point]
W	-3.066018800	-59.923887180	PP01 [157:Point]
W	-3.065730080	-59.923870280	PP01 [158:Point]
W	-3.065495130	-59.923763220	PP01 [159:Point]
W	-3.065232920	-59.923602280	PP01 [160:Point]
W	-3.065042910	-59.923450070	PP01 [161:Point]
W	-3.064816820	-59.923298000	PP01 [162:Point]
W	-3.064672009	-59.923172600	PP01 [163:Point]
W	-3.064436790	-59.922993570	PP01 [164:Point]
W	-3.064282960	-59.922868211	PP01 [165:Point]
W	-3.064093050	-59.922742990	PP01 [166:Point]
W	-3.063912030	-59.922581750	PP01 [167:Point]
W	-3.064055869	-59.922455250	PP01 [168:Point]
W	-3.064226340	-59.922211720	PP01 [169:Point]
W	-3.064270890	-59.922067610	PP01 [170:Point]
W	-3.064315230	-59.921869530	PP01 [171:Point]
W	-3.064585850	-59.921868510	PP01 [172:Point]
W	-3.064766290	-59.921876820	PP01 [173:Point]
W	-3.064819900	-59.921741670	PP01 [174:Point]
W	-3.064873300	-59.921552560	PP01 [175:Point]
W	-3.064944470	-59.921291400	PP01 [176:Point]
W	-3.065015710	-59.921048240	PP01 [177:Point]
W	-3.065068870	-59.920796150	PP01 [178:Point]
W	-3.065121860	-59.920499080	PP01 [179:Point]
W	-3.064896140	-59.920445960	PP01 [180:Point]
W	-3.064652240	-59.920356920	PP01 [181:Point]
W	-3.064471630	-59.920303630	PP01 [182:Point]
W	-3.064309060	-59.920250270	PP01 [183:Point]
W	-3.064056240	-59.920188260	PP01 [184:Point]
W	-3.063875560	-59.920116980	PP01 [185:Point]
W	-3.063613660	-59.920037010	PP01 [186:Point]
W	-3.063442000	-59.919965690	PP01 [187:Point]
W	-3.063388770	-59.920199790	PP01 [188:Point]
W	-3.063344390	-59.920388870	PP01 [189:Point]
W	-3.063308920	-59.920550930	PP01 [190:Point]
W	-3.063237960	-59.920866060	PP01 [191:Point]
W	-3.063048560	-59.920875780	PP01 [192:Point]
W	-3.062975130	-59.920543200	PP01 [193:Point]
W	-3.062811800	-59.920291930	PP01 [194:Point]
